Title,Price,Release Date,Tags,Description,Reviews,URL
Sid Meier's Civilization VII,Free,"11 Feb, 2025","['Strategy', 'Turn-Based Strategy', '4X', 'Grand Strategy', 'Historical', 'Tactical', 'Hex Grid', 'Simulation', 'Singleplayer', 'Multiplayer', 'Political Sim', 'Replay Value', 'City Builder', 'PvP', 'Alternate History', 'Turn-Based Tactics', 'Diplomacy', 'Stylized', 'War', 'Education']",The award-winning strategy game franchise returns with a revolutionary new chapter. Sid Meier's Civilization® VII empowers you to build the greatest empire the world has ever known!,N/A,https://store.steampowered.com/app/1295660/Sid_Meiers_Civilization_VII/?snr=1_7_7_7000_150_1
Path of Exile 2,Free,"6 Dec, 2024","['Action RPG', 'Hack and Slash', 'RPG', 'Souls-like', 'Action', 'Dark Fantasy', 'Loot', 'Isometric', 'MMORPG', 'Adventure', 'Dungeon Crawler', 'Multiplayer', 'Free to Play', 'Online Co-Op', 'Crafting', 'Character Customization', 'Horror', 'Inventory Management', 'Early Access', 'Dark']","Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading.","- 79% of the 26,126 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_7000_150_1
FINAL FANTASY VII REMAKE INTERGRADE,Free,"17 Jun, 2022","['RPG', 'Action RPG', 'JRPG', 'Singleplayer', 'Action-Adventure', 'Party-Based RPG', 'Spectacle fighter', 'Third Person', 'Action', 'Controller', 'Adventure', '3D', 'Fantasy', '3D Platformer', 'Magic', 'Story Rich', 'Cinematic', 'Realistic', 'Drama', 'Sci-fi']","Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.","- 89% of the 1,630 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1462040/FINAL_FANTASY_VII_REMAKE_INTERGRADE/?snr=1_7_7_7000_150_1
Delta Force,Free,"4 Dec, 2024","['Free to Play', 'FPS', 'Multiplayer', 'Extraction Shooter', 'Shooter', 'Singleplayer', 'Military', 'Massively Multiplayer', 'Action', 'Tactical', 'Online Co-Op', 'PvP', 'Survival', 'War', 'Co-op', 'Looter Shooter', 'Open World', '3D', 'Adventure', 'Action-Adventure']","Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign.","- 68% of the 24,245 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2507950/Delta_Force/?snr=1_7_7_7000_150_1
Dota 2,Free,"9 Jul, 2013","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","- 74% of the 20,310 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1
Monster Hunter Wilds,Free,"27 Feb, 2025","['Hunting', 'Action', 'Multiplayer', 'Co-op', 'Online Co-Op', 'Dragons', 'Dating Sim', 'Third Person', 'Open World', 'Character Customization', 'Action RPG', 'Adventure', 'Cute', 'Fantasy', 'RPG', 'Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Underwater', 'Sexual Content']","The unbridled force of nature runs wild and relentless, with environments transforming drastically from one moment to the next. This is a story of monsters and humans and their struggles to live in harmony in a world of duality.",N/A,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/?snr=1_7_7_7000_150_1
DYNASTY WARRIORS: ORIGINS,Free,"16 Jan, 2025","['Hack and Slash', 'Spectacle fighter', 'Wargame', 'Martial Arts', 'RPG', 'Action RPG', 'Strategy', 'Historical', 'Third Person', '3D', 'Swordplay', 'Controller', 'Action', 'Musou', 'Multiple Endings', 'Dating Sim', 'Story Rich', 'Tactical', 'War', 'Singleplayer']",Become immersed in exhilarating battles as a nameless hero in the Three Kingdoms,"- 93% of the 6,545 user reviews for this game are positive.",https://store.steampowered.com/app/2384580/DYNASTY_WARRIORS_ORIGINS/?snr=1_7_7_7000_150_1
Warframe,Free,"25 Mar, 2013","['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'PvE', 'Singleplayer', 'Sci-fi', 'Space', 'Lore-Rich', 'Shooter', 'Hack and Slash', 'Parkour', 'Ninja']",Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"- 88% of the 4,421 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1
Kingdom Come: Deliverance II,Free,"4 Feb, 2025","['RPG', 'Medieval', 'Open World', 'Singleplayer', 'LGBTQ+', 'Realistic', 'First-Person', 'Action', 'Adventure', 'Story Rich', 'Combat', 'Political', 'Alternate History', 'Historical', 'Action-Adventure', 'Atmospheric', 'Immersive', 'Choices Matter', 'Swordplay', '3D']","A thrilling story-driven action RPG, with a rich open world, set in 15th century Medieval Europe. Experience the ultimate medieval adventure - through the eyes of young Henry - as you embark on a journey of epic proportions.",N/A,https://store.steampowered.com/app/1771300/Kingdom_Come_Deliverance_II/?snr=1_7_7_7000_150_1
Once Human,Free,"9 Jul, 2024","['Multiplayer', 'Open World Survival Craft', 'Survival', 'Strategy', 'Horror', 'Open World', 'Free to Play', 'Co-op', 'Simulation', 'Shooter', 'Post-apocalyptic', 'Base Building', 'Action', 'Adventure', 'Online Co-Op', 'Strategy RPG', 'MMORPG', 'Singleplayer', '3D', 'Character Customization']","Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.","- 76% of the 4,171 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_7000_150_1
DOOM: The Dark Ages,Free,"14 May, 2025","['Action', 'FPS', 'Demons', 'Dark Fantasy', 'Cinematic', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Shooter', 'Lore-Rich', 'First-Person', 'Gore', 'Dragons', 'Mature', 'Adventure', 'Mechs', 'Blood', 'Fast-Paced', 'Boomer Shooter']","DOOM: The Dark Ages is the prequel to the critically acclaimed DOOM (2016) and DOOM Eternal that tells the epic cinematic origin story of the DOOM Slayer’s rage. Players will step into the blood-stained boots of the DOOM Slayer, in this never-before-seen dark and sinister medieval war against Hell.",N/A,https://store.steampowered.com/app/3017860/DOOM_The_Dark_Ages/?snr=1_7_7_7000_150_1
NARAKA: BLADEPOINT,Free,"11 Aug, 2021","['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Mature', 'Character Customization', 'Massively Multiplayer', 'Fighting', 'Third Person', 'Survival', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Free to Play', 'Violent', 'Gore']","Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!","- 69% of the 3,464 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1
Apex Legends™,Free,"4 Nov, 2020","['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Co-op', 'Funny', 'Lore-Rich', 'Cyberpunk', 'Cinematic']","Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","- 41% of the 7,072 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1
Grand Theft Auto V,Free,"13 Apr, 2015","['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']","Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.","- 92% of the 23,125 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1
HELLDIVERS™ 2,Free,"8 Feb, 2024","['Online Co-Op', 'PvE', 'Third-Person Shooter', 'Multiplayer', 'Action', 'Shooter', 'Co-op', 'Sci-fi', 'Capitalism', 'Space', 'Extraction Shooter', 'Third Person', 'Comedy', 'Gore', 'Violent', 'Great Soundtrack', 'Difficult', 'Psychological Horror', 'Singleplayer', 'Open World']","The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.","- 93% of the 12,132 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1
War Thunder,Free,"15 Aug, 2013","['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Modern', 'Massively Multiplayer', 'Cold War', 'Realistic', 'Action', 'Shooter', 'Third Person', 'Third-Person Shooter']","War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","- 73% of the 10,170 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1
Snowbreak: Containment Zone,Free,"24 Dec, 2023","['Anime', 'Third-Person Shooter', 'Free to Play', 'Shooter', 'RPG', 'Action', 'Hentai', '3D', 'JRPG', 'Singleplayer', 'Nudity', 'Sci-fi', 'Co-op', 'Cute', 'Sexual Content', '3D Platformer', 'Online Co-Op', 'Multiplayer', 'Action RPG', 'Story Rich']","The new 3D Waifu Sci-Fi RPG Shooter is here! Aim at fate, fight by our side! Clear the specified stage to claim an Orange-Tier Operative!",- 77% of the 159 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/2668080/Snowbreak_Containment_Zone/?snr=1_7_7_7000_150_1
Diablo® IV,Free,"7 Oct, 2024","['Action RPG', 'Hack and Slash', 'Loot', 'Isometric', 'RPG', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Dungeon Crawler', 'Multiplayer', 'Action', 'Third Person', 'Fantasy', 'PvE', 'Dark Fantasy', 'Story Rich', 'Gore', 'Exploration', 'Violent', 'Point & Click']","Join the fight for Sanctuary in Diablo® IV, the ultimate action RPG adventure. Experience the critically acclaimed campaign and new seasonal content.","- 71% of the 1,361 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2344520/Diablo_IV/?snr=1_7_7_7000_150_1
Arma Reforger,Free,"16 Nov, 2023","['Military', 'Simulation', 'Action', 'Shooter', 'Realistic', 'Strategy', 'FPS', 'Sandbox', 'First-Person', 'Real Time Tactics', 'War', 'Tactical', 'Third Person', 'Multiplayer', 'Open World', 'PvE', 'PvP', 'Cold War', '1980s', 'Moddable']","Experience authentic Cold War combat and join the struggle for the sprawling, mid-Atlantic island of Everon and its smaller, offshore territory, Arland – or take on the role of Game Master and create your very own scenarios for others to enjoy.","- 78% of the 2,247 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1874880/Arma_Reforger/?snr=1_7_7_7000_150_1
